date,twse_rows,tpex_rows
2020-10-19,0,776
2020-10-29,0,775
2021-08-23,0,787
2021-08-24,0,787
2021-08-25,0,787
2021-08-26,0,787
2021-08-27,0,787
2021-08-30,0,787
2021-08-31,0,787
2021-09-01,0,787
2021-09-02,0,787
2021-09-03,0,787
2021-09-06,0,787
2021-09-07,0,787
2021-09-08,0,787
2021-09-09,0,787
2021-09-10,0,787
2021-09-13,0,787
2021-09-14,0,787
2021-09-15,0,787
2021-09-16,0,787
2021-09-17,0,787
2021-09-22,0,787
2021-09-23,0,787
2021-09-24,0,787
2021-09-27,0,787
2021-09-28,0,787
2021-09-29,0,787
2021-09-30,0,786
2021-10-01,0,786
2021-10-04,0,786
2021-10-05,0,786
2021-10-06,0,788
2021-10-07,0,789
2021-10-08,0,789
2021-10-12,0,789
2021-10-13,0,789
2021-10-14,0,788
2021-10-15,0,788
2021-10-18,0,788
2021-10-19,0,788
2021-10-20,0,788
2021-10-21,0,786
2021-10-22,0,786
2021-10-25,0,786
2021-10-26,0,786
2021-10-27,0,786
2021-10-28,0,786
2021-10-29,0,786
2021-11-01,0,788
2021-11-02,0,788
2021-11-03,0,788
2021-11-04,0,788
2021-11-05,0,788
2021-11-08,0,789
2021-11-09,0,789
2021-11-10,0,789
2021-11-11,0,789
2021-11-12,0,789
2021-11-15,0,789
2021-11-16,0,789
2021-11-17,0,789
2021-11-18,0,788
2021-11-19,0,788
2021-11-22,0,788
2021-11-23,0,788
2021-11-24,0,788
2021-11-25,0,786
2021-11-26,0,786
2021-11-29,0,787
2021-11-30,0,786
2021-12-01,0,786
2021-12-02,0,785
2021-12-03,0,785
2021-12-06,0,787
2021-12-07,0,788
2021-12-08,0,788
2021-12-09,0,787
2021-12-10,0,787
2021-12-13,0,788
2021-12-14,0,787
2021-12-15,0,787
2021-12-16,0,785
2021-12-17,0,785
2021-12-20,0,786
2021-12-21,0,786
2021-12-22,0,786
2021-12-23,0,785
2021-12-24,0,785
2021-12-27,0,786
2021-12-28,0,786
2021-12-29,0,784
2021-12-30,0,785
2023-07-13,0,811
2024-08-02,31,823
2026-07-02,31,889
