market,calendar_date,session_state,reconstruction_state,price_rows,coverage_calendar,coverage_security_lifecycle,coverage_daily_price,coverage_market_status,coverage_corporate_action,coverage_fundamental,reason_codes
TWSE,2025-01-01,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-01-01,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TWSE,2025-01-02,official-open,partial,1274,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TPEX,2025-01-02,official-open,partial,943,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TWSE,2025-01-03,official-open,partial,1274,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TPEX,2025-01-03,official-open,partial,943,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TWSE,2025-01-04,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-01-04,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TWSE,2025-01-05,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-01-05,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TWSE,2025-01-06,official-open,partial,1274,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TPEX,2025-01-06,official-open,partial,943,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TWSE,2025-01-07,official-open,partial,1274,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TPEX,2025-01-07,official-open,partial,943,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TWSE,2025-01-08,official-open,partial,1274,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
TPEX,2025-01-08,official-open,partial,943,covered,current-only,covered,current-only,unknown,partial,fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;official-closing-table-present;security-lifecycle-current-only
